depto,victim_conflict,response,friendliness,substantive,gender_female,words_responses
ANTIOQUIA,1,0,0,0,0,0
NORTE DE SANTANDER,1,0,0,0,0,0
ANTIOQUIA,0,0,0,0,1,0
META,0,0,0,0,0,0
CHOCO,0,0,0,0,1,0
HUILA,1,0,0,0,0,0
BOLIVAR,1,0,0,0,1,0
HUILA,0,0,0,0,1,0
CUNDINAMARCA,1,1,5,2,0,151
CESAR,1,1,3,2,1,74
SANTANDER,0,0,0,0,1,0
CALDAS,1,0,0,0,1,0
CASANARE,1,1,3,1,1,86
CESAR,1,0,0,0,1,0
HUILA,1,0,0,0,1,0
CUNDINAMARCA,1,1,2,1,1,74
NARINO,1,0,0,0,1,0
CAQUETA,1,0,0,0,1,0
LA GUAJIRA,0,1,0,0,1,39
SANTANDER,0,1,1,1,0,68
VALLE DEL CAUCA,1,0,0,0,1,0
NARINO,1,0,0,0,1,0
ANTIOQUIA,1,0,0,0,1,0
MAGDALENA,1,0,0,0,1,0
HUILA,1,0,0,0,0,0
CAUCA,1,0,0,0,0,0
BOYACA,1,1,5,1,1,150
TOLIMA,1,1,6,2,0,106
HUILA,0,1,1,2,0,84
CHOCO,1,1,2,1,0,24
BOLIVAR,1,0,0,0,0,0
TOLIMA,0,1,4,2,1,121
ANTIOQUIA,1,0,0,0,1,0
ANTIOQUIA,0,0,0,0,0,0
TOLIMA,1,1,6,2,0,196
CUNDINAMARCA,1,0,0,0,1,0
NARINO,1,0,0,0,1,0
VALLE DEL CAUCA,1,1,1,2,0,51
ANTIOQUIA,0,0,0,0,1,0
ANTIOQUIA,1,1,5,1,0,30
ANTIOQUIA,0,0,0,0,1,0
CUNDINAMARCA,0,0,0,0,1,0
ANTIOQUIA,0,0,0,0,1,0
CALDAS,0,1,3,3,1,413
VALLE DEL CAUCA,1,1,2,3,0,236
ANTIOQUIA,1,0,0,0,1,0
TOLIMA,0,1,0,0,0,15
ANTIOQUIA,0,1,0,0,1,6
RISARALDA,1,1,4,1,1,25
CUNDINAMARCA,1,0,0,0,1,0
BOYACA,1,0,0,0,0,0
MAGDALENA,1,0,0,0,1,0
CALDAS,0,1,2,1,1,50
SANTANDER,1,0,0,0,1,0
ARAUCA,1,0,0,0,0,0
ARAUCA,1,0,0,0,0,0
CUNDINAMARCA,1,1,5,1,1,125
NARINO,1,0,0,0,0,0
NORTE DE SANTANDER,0,0,0,0,0,0
ANTIOQUIA,1,0,0,0,0,0
BOYACA,1,0,0,0,0,0
BOLIVAR,1,0,0,0,1,0
CAUCA,1,1,4,1,1,23
ANTIOQUIA,1,0,0,0,0,0
VALLE DEL CAUCA,1,0,0,0,1,0
MAGDALENA,1,0,0,0,0,0
BOLIVAR,1,0,0,0,0,0
ANTIOQUIA,0,0,0,0,1,0
QUINDIO,0,1,4,3,0,395
TOLIMA,1,0,0,0,1,0
BOLIVAR,1,0,0,0,1,0
CESAR,1,0,0,0,0,0
TOLIMA,1,1,5,4,0,102
CHOCO,1,0,0,0,0,0
CORDOBA,0,0,0,0,0,0
CHOCO,1,0,0,0,0,0
CHOCO,0,0,0,0,0,0
CHOCO,1,0,0,0,1,0
CAUCA,0,0,0,0,0,0
RISARALDA,1,1,2,2,0,94
ATLANTICO,1,1,4,2,0,138
HUILA,0,0,0,0,0,0
NARINO,1,0,0,0,1,0
ANTIOQUIA,1,1,6,1,0,26
SANTANDER,1,0,0,0,0,0
SANTANDER,0,0,0,0,0,0
META,1,0,0,0,0,0
SANTANDER,1,0,0,0,0,0
LA GUAJIRA,1,0,0,0,1,0
BOLIVAR,1,0,0,0,1,0
ATLANTICO,0,1,3,4,1,649
CESAR,0,0,0,0,1,0
CALDAS,1,0,0,0,0,0
CAQUETA,1,0,0,0,0,0
RISARALDA,1,1,4,1,1,22
BOYACA,1,1,1,2,0,137
NARINO,1,0,0,0,0,0
ANTIOQUIA,1,1,5,3,0,1090
ANTIOQUIA,0,1,5,2,1,201
CUNDINAMARCA,1,0,0,0,1,0
BOYACA,0,1,3,1,1,62
ANTIOQUIA,0,1,2,2,0,97
BOYACA,1,1,3,1,0,41
ANTIOQUIA,1,0,0,0,0,0
SANTANDER,1,0,0,0,1,0
CUNDINAMARCA,1,1,6,4,1,116
BOYACA,1,0,0,0,1,0
NORTE DE SANTANDER,1,0,0,0,0,0
CUNDINAMARCA,0,0,0,0,1,0
CHOCO,1,0,0,0,0,0
CAUCA,1,1,2,2,1,103
SANTANDER,0,0,0,0,1,0
VALLE DEL CAUCA,1,1,4,1,0,60
CESAR,1,0,0,0,1,0
BOYACA,0,1,1,0,1,42
BOYACA,1,1,3,1,0,57
ANTIOQUIA,1,0,0,0,0,0
SANTANDER,0,1,0,0,1,50
NORTE DE SANTANDER,0,0,0,0,1,0
VALLE DEL CAUCA,0,0,0,0,0,0
BOYACA,1,1,6,2,0,308
CORDOBA,1,0,0,0,0,0
QUINDIO,0,0,0,0,0,0
SUCRE,0,0,0,0,1,0
CAUCA,1,0,0,0,1,0
NARINO,0,0,0,0,0,0
VALLE DEL CAUCA,1,1,6,1,1,46
ANTIOQUIA,1,1,5,2,0,84
BOYACA,0,0,0,0,1,0
CUNDINAMARCA,1,1,1,1,1,53
SANTANDER,1,1,2,1,1,188
META,1,1,6,2,1,172
ANTIOQUIA,1,0,0,0,1,0
CUNDINAMARCA,1,1,3,1,1,66
NORTE DE SANTANDER,1,0,0,0,1,0
NORTE DE SANTANDER,0,0,0,0,0,0
ANTIOQUIA,1,0,0,0,1,0
