depto,victim_conflict,response,friendliness,substantive,gender_female,words_responses,victim_ID
ANTIOQUIA,1,0,0,0,0,0,1
NORTE DE SANTANDER,1,0,0,0,0,0,2
ANTIOQUIA,0,0,0,0,1,0,3
META,0,0,0,0,0,0,4
CHOCO,0,0,0,0,1,0,5
HUILA,1,0,0,0,0,0,6
BOLIVAR,1,0,0,0,1,0,7
HUILA,0,0,0,0,1,0,8
CUNDINAMARCA,1,1,5,2,0,151,9
CESAR,1,1,3,2,1,74,10
SANTANDER,0,0,0,0,1,0,11
CALDAS,1,0,0,0,1,0,12
CASANARE,1,1,3,1,1,86,13
CESAR,1,0,0,0,1,0,14
HUILA,1,0,0,0,1,0,15
CUNDINAMARCA,1,1,2,1,1,74,16
NARINO,1,0,0,0,1,0,17
CAQUETA,1,0,0,0,1,0,18
LA GUAJIRA,0,1,0,0,1,39,19
SANTANDER,0,1,1,1,0,68,20
VALLE DEL CAUCA,1,0,0,0,1,0,21
NARINO,1,0,0,0,1,0,22
ANTIOQUIA,1,0,0,0,1,0,23
MAGDALENA,1,0,0,0,1,0,24
HUILA,1,0,0,0,0,0,25
CAUCA,1,0,0,0,0,0,26
BOYACA,1,1,5,1,1,150,27
TOLIMA,1,1,6,2,0,106,28
HUILA,0,1,1,2,0,84,29
CHOCO,1,1,2,1,0,24,30
BOLIVAR,1,0,0,0,0,0,31
TOLIMA,0,1,4,2,1,121,32
ANTIOQUIA,1,0,0,0,1,0,33
ANTIOQUIA,0,0,0,0,0,0,34
TOLIMA,1,1,6,2,0,196,35
CUNDINAMARCA,1,0,0,0,1,0,36
NARINO,1,0,0,0,1,0,37
VALLE DEL CAUCA,1,1,1,2,0,51,38
ANTIOQUIA,0,0,0,0,1,0,39
ANTIOQUIA,1,1,5,1,0,30,40
ANTIOQUIA,0,0,0,0,1,0,41
CUNDINAMARCA,0,0,0,0,1,0,42
ANTIOQUIA,0,0,0,0,1,0,43
CALDAS,0,1,3,3,1,413,44
VALLE DEL CAUCA,1,1,2,3,0,236,45
ANTIOQUIA,1,0,0,0,1,0,46
TOLIMA,0,1,0,0,0,15,47
ANTIOQUIA,0,1,0,0,1,6,48
RISARALDA,1,1,4,1,1,25,49
